Abb1,Abb2,B,Bmsy,F,Fmsy,B/Bmsy,F/Fmsy,TM_ABC,TM,ABC,pch_spp,Assessment_Year,Spp_type
ATF,Arrowtooth,56710.3,16362,,,3.465976042,0.273000002,0.404469937,4090,10112,22,2017,Flatfishes
Aurora,Aurora,1673.35,1050.44,0.0117853,0.0248105,1.592999124,0.475012595,0.614296,NA,NA,24,2013,Scorpaenids
Big_skate,Big_skate,1999.35,1009.82,0.00796233,0.0705301,1.97990731,0.112892652,,,,21,2019,Other
Black_CA,Black_CA,609.605,424.609,0.0245252,0.0637094,1.435685537,0.384954183,NA,NA,NA,24,2019,Scorpaenids
Black_OR,Black_OR,744.882,527.378,0.0844603,0.115121,1.412425243,0.733665448,NA,NA,NA,24,2019,Scorpaenids
Black_WA,Black_WA,806.496,542.332,0.0447959,0.0822484,1.487089089,0.544641598,NA,NA,NA,24,2019,Scorpaenids
Blackgill,Blackgill,855984,825476,,,1.03695807,0.337334,,,,24,2019,Scorpaenids
Blu_Dec_CA,Blu_Dec_CA,903.436,871.072,0.0336557,0.0453972,1.037154219,0.741360701,,,,24,2019,Scorpaenids
Blu_Dec_OR,Blu_Dec_OR,295.514,172.411,0.0140322,0.0555624,1.714008967,0.667999983,,,,24,2017,Scorpaenids
Bocaccio,Bocaccio,3600000,2.96E+06,,,1.216216216,0.109999999,NA,NA,NA,24,2017,Scorpaenids
CA_scorpfish,CA_scorp,882,649.774,0.043,0.15019,1.358098354,0.469999999,,,,24,2017,Scorpaenids
Cab_NCA,Cabezon_NCA,642.623,394.564,0.0554864,0.139597,1.628691416,0.318612,NA,NA,NA,21,2019,Other
Cab_OR,Cabezon_OR,177.031,134.003,0.11977,0.161402,1.321097289,0.742229,NA,NA,NA,21,2019,Other
Cab_SCA,Cabezon_SCA,100.592,81.8337,0.0327944,0.128728,1.229224635,0.346781,NA,NA,NA,21,2019,Other
Canary,Canary,4267.37,2980.92,0.0162427,0.0361891,1.431561397,0.150000006,NA,NA,NA,24,2019,Scorpaenids
Chilipepper,Chilipepper,4.71E+06,2.72E+06,,,1.730182064,0.054000001,0.145962733,376,2576,24,2017,Scorpaenids
China_C,China_C,41.9092,26.0408,,,1.60936684,0.48807,NA,NA,NA,24,2019,Scorpaenids
China_N,China_N,18.5558,9.77652,,,1.897996424,0.172013,NA,NA,NA,24,2019,Scorpaenids
China_S,China_S,20.6557,26.6047,,,0.776392893,0.971816,NA,NA,NA,24,2019,Scorpaenids
Cowcod,Cowcod,163,114,0.000764255,0.0432375,1.429824561,0.017675744,0.088355981,NA,NA,24,2019,Scorpaenids
Dkbltched,Darkblotched,1558770000,1417720000,0.015714,0.0321321,1.099490732,0.489043667,NA,NA,NA,24,2019,Scorpaenids
Dover,Dover,364738,117467,0.0168477,0.127581,3.105025241,0.13205493,0.383178224,10952,28582,22,2019,Flatfishes
English,English,26152,7337.3,0.00804999,0.432239,3.564253881,0.018623933,0.021133108,311,9745,22,2013,Flatfishes
Gphy_Byel,Gopher_BLKYL,552.482,504.356,0.0745793,0.110579,1.095420695,0.67444361,,,,24,2019,Scorpaenids
Kelp gling,Kelp_greenling,315.975,158.65,0.029516261,0.182864,1.991648282,0.161411,NA,NA,NA,21,2015,Other
Lingcod_N,Lingcod_N,23582.7,15189.6,,,1.552555696,0.11687,0.093186995,450,4829,21,2019,Other
Lingcod_S,Lingcod_S,6821.63,8103.96,,0.132178,0.841765014,0.354673,,,,21,2019,Other
Longnose,Longnose,6922.72,4900.96,0.0155222,0.038771,1.412523261,0.400355936,0.424288773,1387,3269,21,2019,Other
LST,LST,"28,389","15,654",0.006,0.06,1.81357643,0.1,0.266886924,NA,NA,24,2019,Scorpaenids
P.Hake,P. Hake,1.65E+03,6.60E+02,0.116,0.183,2.498484848,0.633879781,NA,NA,NA,21,2019,Other
Petrale,Petrale,13077.7,8351.48,0.119058,0.172524,1.565914066,0.690095291,NA,NA,NA,22,2019,Flatfishes
POP,POP,5280.38,2755.67,0.000545118,0.0332907,1.916187352,0.026000001,0.026000001,159,1173,24,2017,Scorpaenids
Rex,Rex,6474.15,2040.37,0.0395474,0.402049,3.173027441,0.098364627,0.186595714,NA,NA,22,2013,Flatfishes
Rougheye,Rougheye,5876.2,4315.08,0.0269363,0.026793,1.3617824,1.005348412,0.98,NA,NA,24,2019,Scorpaenids
Sablefish,Sablefish,57443.9,59091.6,0.0352093,0.0487953,0.972116172,0.721571545,NA,NA,NA,21,2019,Other
